link,name,portions,bookmarks,likes,comments,ingredients
https://eda.ru/recepty/salaty/olive-s-solenimi-ogurcami-26134,Оливье с солеными огурцами,4,376,34,3,"
  
  Ингредиенты
  
    порции
    
      
    
      
  


  
    
      
        Соленые огурцы
      
    
    2 штуки
  
  
    
      
        Консервированный зеленый горошек
      
    
    100 г
  
  
    
      
        Говядина
      
    
    300 г
  
  
    
      
        Картофель
      
    
    3 штуки
  
  
    
      
        Лук репчатый
      
    
    1 головка
  
  
    
      
        Майонез
      
    
    150 г
  
  
    
      
        Яйцо куриное
      
    
    2 штуки
  
  
    
      
        Петрушка
      
    
    1 пучок
  
  
    
      
        Соль
      
    
    по вкусу
  
  
    
      
        Перец черный молотый
      
    
    по вкусу
  



	window.ga('set', 'dimension7', '|solenye-ogurcy|konservirovannyj-zelenyj-goroshek|govjadina|kartofel|luk-repchatyj|majonez|jajco-kurinoe|petrushka|sol|perec-chernyj-molotyj|');
"
https://eda.ru/recepty/salaty/carskij-olive-35270,Царский оливье,2,375,11,4,"
  
  Ингредиенты
  
    порции
    
      
    
      
  


  
    
      
        Раковые шейки
      
    
    85 г
  
  
    
      
        Куриная грудка
      
    
    90 г
  
  
    
      
        Перепелиное яйцо
      
    
    2 штуки
  
  
    
      
        Салат романо
      
    
    2 головки
  
  
    
      
        Картофель
      
    
    150 г
  
  
    
      
        Морковь
      
    
    35 г
  
  
    
      
        Огурцы
      
    
    100 г
  
  
    
      
        Консервированный зеленый горошек
      
    
    30 г
  
  
    
      
        Зеленые яблоки
      
    
    40 г
  
  
    
      
        Лимон
      
    
    ½ штуки
  
  
    
      
        Зеленый лук
      
    
    4 г
  
  
    
      
        Маринованные огурцы
      
    
    40 г
  
  
    
      
        Каперсы
      
    
    10 г
  
  
    
      
        Зернистая горчица
      
    
    15 г
  
  
    
      
        Майонез
      
    
    50 г
  
  
    
      
        Вустерширский соус
      
    
    10 мл
  



	window.ga('set', 'dimension7', '|rakovye-shejki|kurinaja-grudka|perepelinoe-jajco|salat-romano|kartofel|morkov|ogurcy|konservirovannyj-zelenyj-goroshek|zelenye-jabloki|limon|zelenyj-luk|marinovannye-ogurcy|kapersy|zernistaja-gorchica|majonez|vustershirskij-sous|');
"
https://eda.ru/recepty/salaty/novogodnij-sovetskij-olive-s-govjadinoj-41519,Новогодний советский «Оливье» с говядиной,2,266,14,1,"
  
  Ингредиенты
  
    порции
    
      
    
      
  


  
    
      
        Салат романо
      
    
    60 г
  
  
    
      
        Картофель
      
    
    120 г
  
  
    
      
        Морковь
      
    
    50 г
  
  
    
      
        Зеленый горошек
      
    
    80 г
  
  
    
      
        Огурцы
      
    
    80 г
  
  
    
      
        Соленые огурцы
      
    
    60 г
  
  
    
      
        Зеленый лук
      
    
    10 г
  
  
    
      
        Яйцо куриное
      
    
    2 штуки
  
  
    
      
        Майонез
      
    
    50 г
  
  
    
      
        Говяжья вырезка
      
    
    120 г
  



	window.ga('set', 'dimension7', '|salat-romano|kartofel|morkov|zelenyj-goroshek|ogurcy|solenye-ogurcy|zelenyj-luk|jajco-kurinoe|majonez|govjazhja-vyrezka|');
"
https://eda.ru/recepty/salaty/olive-po-starinnomu-receptu-33157,Оливье по-старинному рецепту,6,248,6,2,"
  
  Ингредиенты
  
    порции
    
      
    
      
  


  
    
      
        Картофель
      
    
    6 штук
  
  
    
      
        Морковь
      
    
    3 штуки
  
  
    
      
        Лук
      
    
    2 штуки
  
  
    
      
        Кислые яблоки
      
    
    1 штука
  
  
    
      
        Маринованные огурцы
      
    
    2 штуки
  
  
    
      
        Куриное филе
      
    
    200 г
  
  
    
      
        Яйцо куриное
      
    
    3 штуки
  
  
    
      
        Соль
      
    
    по вкусу
  
  
    
      
        Перец черный молотый
      
    
    по вкусу
  
  
    
      
        Майонез
      
    
    по вкусу
  
  
    
      
        Консервированный зеленый горошек
      
    
    45 г
  



	window.ga('set', 'dimension7', '|kartofel|morkov|luk|kislye-jabloki|marinovannye-ogurcy|kurinoe-file|jajco-kurinoe|sol|perec-chernyj-molotyj|majonez|konservirovannyj-zelenyj-goroshek|');
"
https://eda.ru/recepty/salaty/olive-s-kopchenoj-riboj-i-kamchatskim-krabom-55912,Оливье с копченой рыбой и камчатским крабом,5,233,8,2,"
  
  Ингредиенты
  
    порции
    
      
    
      
  


  
    
      
        Копченый лосось
      
    
    250 г
  
  
    
      
        Консервированный зеленый горошек
      
    
    100 г
  
  
    
      
        Морковь
      
    
    100 г
  
  
    
      
        Картофель
      
    
    100 г
  
  
    
      
        Соленые огурцы
      
    
    150 г
  
  
    
      
        Яйцо куриное
      
    
    5 штук
  
  
    
      
        Майонез
      
    
    150 г
  
  
    
      
        Соль
      
    
    по вкусу
  
  
    
      
        Красная икра
      
    
    25 г
  
  
    
      
        Зеленый лук
      
    
    50 г
  
  
    
      
        Салат фризе
      
    
    10 г
  
  
    
      
        Огурцы
      
    
    75 г
  
  
    
      
        Крабы
      
    
    25 г
  
  
    
      
        Бальзамический крем
      
    
    по вкусу
  



	window.ga('set', 'dimension7', '|kopchenyj-losos|konservirovannyj-zelenyj-goroshek|morkov|kartofel|solenye-ogurcy|jajco-kurinoe|majonez|sol|krasnaja-ikra|zelenyj-luk|salat-frize|ogurcy|kraby|balzamicheskij-krem|');
"
https://eda.ru/recepty/salaty/vegetarianskij-olive-s-zharenim-adigejskim-sirom-51748,Вегетарианский оливье с жареным адыгейским сыром,6,224,10,0,"
  
  Ингредиенты
  
    порции
    
      
    
      
  


  
    
      
        Картофель
      
    
    5 штук
  
  
    
      
        Морковь
      
    
    2 штуки
  
  
    
      
        Маринованные огурцы
      
    
    350 г
  
  
    
      
        Консервированный зеленый горошек
      
    
    1 банка
  
  
    
      
        Адыгейский сыр
      
    
    300 г
  
  
    
      
        Зелень
      
    
    по вкусу
  
  
    
      
        Постный майонез
      
    
    по вкусу
  
  
    
      
        Асафетида
      
    
    ½ чайной ложки
  
  
    
      
        Перец черный молотый
      
    
    ½ чайной ложки
  
  
    
      
        Куркума
      
    
    ¼ чайной ложки
  
  
    
      
        Соль
      
    
    ½ чайной ложки
  



	window.ga('set', 'dimension7', '|kartofel|morkov|marinovannye-ogurcy|konservirovannyj-zelenyj-goroshek|adygejskij-syr|zelen|postnyj-majonez|asafetida|perec-chernyj-molotyj|kurkuma|sol|');
"
https://eda.ru/recepty/salaty/olive-s-pechenim-kartofelem-kuricej-i-govjazhim-jazikom-55891,"Оливье с печеным картофелем, курицей и говяжьим языком",1,214,8,2,"
  
  Ингредиенты
  
    порции
    
      
    
      
  


  
    
      
        Картофель
      
    
    100 г
  
  
    
      
        Морковь
      
    
    70 г
  
  
    
      
        Соленые огурцы
      
    
    55 г
  
  
    
      
        Огурцы
      
    
    60 г
  
  
    
      
        Перепелиное яйцо
      
    
    35 г
  
  
    
      
        Зеленый горошек
      
    
    50 г
  
  
    
      
        Куриное филе
      
    
    45 г
  
  
    
      
        Говяжий язык
      
    
    40 г
  
  
    
      
        Домашний майонез
      
    
    180 г
  
  
    
      
        Сметана
      
    
    70 г
  
  
    
      
        Красная икра
      
    
    по вкусу
  
  
    
      
        Чеснок
      
    
    по вкусу
  
  
    
      
        Коренья
      
    
    по вкусу
  
  
    
      
        Лавровый лист
      
    
    по вкусу
  
  
    
      
        Душистый перец горошком
      
    
    по вкусу
  
  
    
      
        Черный перец горошком
      
    
    по вкусу
  
  
    
      
        Оливковое масло
      
    
    по вкусу
  



	window.ga('set', 'dimension7', '|kartofel|morkov|solenye-ogurcy|ogurcy|perepelinoe-jajco|zelenyj-goroshek|kurinoe-file|govjazhij-jazyk|domashnij-majonez|smetana|krasnaja-ikra|chesnok|korenja|lavrovyj-list|dushistyj-perec-goroshkom|chernyj-perec-goroshkom|olivkovoe-maslo|');
"
https://eda.ru/recepty/salaty/olive-so-smetanoj-gorchicej-i-pechenoj-kuricej-34941,"Оливье со сметаной, горчицей и печеной курицей",6,212,12,3,"
  
  Ингредиенты
  
    порции
    
      
    
      
  


  
    
      
        Картофель
      
    
    300 г
  
  
    
      
        Куриное филе
      
    
    600 г
  
  
    
      
        Лук репчатый
      
    
    1 головка
  
  
    
      
        Морковь
      
    
    300 г
  
  
    
      
        Соленые огурцы
      
    
    100 г
  
  
    
      
        Стебель сельдерея
      
    
    2 штуки
  
  
    
      
        Яйцо куриное
      
    
    6 штук
  
  
    
      
        Замороженный зеленый горошек 
      
    
    300 г
  
  
    
      
        Соевый соус
      
    
    50 мл
  
  
    
      
        Сахар
      
    
    1 столовая ложка
  
  
    
      
        Растительное масло
      
    
    50 мл
  
  
    
      
        Сметана 20%-ная
      
    
    100 г
  
  
    
      
        Дижонская горчица
      
    
    2 столовые ложки
  
  
    
      
        Петрушка
      
    
    20 г
  
  
    
      
        Укроп
      
    
    20 г
  
  
    
      
        Соль
      
    
    по вкусу
  
  
    
      
        Перец черный молотый
      
    
    по вкусу
  



	window.ga('set', 'dimension7', '|kartofel|kurinoe-file|luk-repchatyj|morkov|solenye-ogurcy|stebel-seldereja|jajco-kurinoe|zamorozhennyj-zelenyj-goroshek|soevyj-sous|sahar|rastitelnoe-maslo|smetana-20-naja|dizhonskaja-gorchica|petrushka|ukrop|sol|perec-chernyj-molotyj|');
"
https://eda.ru/recepty/salaty/olive-s-krevetkami-i-kapersami-26493,Оливье с креветками и каперсами,4,211,7,1,"
  
  Ингредиенты
  
    порции
    
      
    
      
  


  
    
      
        Филе куриной грудки
      
    
    3 штуки
  
  
    
      
        Очищенные креветки
      
    
    30 штук
  
  
    
      
        Картофель
      
    
    5 штук
  
  
    
      
        Каперсы
      
    
    3 столовые ложки
  
  
    
      
        Маринованные огурцы
      
    
    5 штук
  
  
    
      
        Оливки, фаршированные лимоном
      
    
    10 штук
  
  
    
      
        Майонез «Провансаль»
      
    
    ½ банки
  
  
    
      
        Черная икра
      
    
    по вкусу
  



	window.ga('set', 'dimension7', '|file-kurinoj-grudki|ochischennye-krevetki|kartofel|kapersy|marinovannye-ogurcy|olivki-farshirovannye-limonom|majonez-provansal|chernaja-ikra|');
"
https://eda.ru/recepty/salaty/olive-s-olivkami-26440,Оливье с оливками,6,197,8,0,"
  
  Ингредиенты
  
    порции
    
      
    
      
  


  
    
      
        Говядина
      
    
    300 г
  
  
    
      
        Картофель
      
    
    500 г
  
  
    
      
        Соленые огурцы
      
    
    2 штуки
  
  
    
      
        Консервированный зеленый горошек
      
    
    3 столовые ложки
  
  
    
      
        Оливки, фаршированные лимоном
      
    
    10 штук
  
  
    
      
        Яйцо куриное
      
    
    2 штуки
  
  
    
      
        Соль
      
    
    по вкусу
  
  
    
      
        Майонез
      
    
    по вкусу
  
  
    
      
        Маринованный жемчужный лук
      
    
    10 штук
  



	window.ga('set', 'dimension7', '|govjadina|kartofel|solenye-ogurcy|konservirovannyj-zelenyj-goroshek|olivki-farshirovannye-limonom|jajco-kurinoe|sol|majonez|marinovannyj-zhemchuzhnyj-luk|');
"
